name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,72,1351702468,turning_circle,,,,,,-96.7536973,43.486341,,,
,73,2013909126,,,,,,,-96.7523186,43.4857175,,,
,74,80233619,,,,,,,-96.7482025,43.4860133,,,
,75,80233663,,,,,,,-96.7424182,43.4890448,,,
,76,80233687,,,,,,,-96.7450888,43.4881836,,,
,77,80233638,,,,,,,-96.7450833,43.4860016,,,
,78,80233697,,,,,,,-96.7424308,43.4874012,,,
,79,80233725,,,,,,,-96.7404981,43.4855773,,,
,80,80232289,,,,,,,-96.7513275,43.4912803,,,
,81,80234551,,,,,,,-96.7521549,43.4941698,,,
,82,80234646,turning_circle,,,,,,-96.7385038,43.4888571,,,
,83,5082761294,,,,,,,-96.7394771,43.4887751,,,
,84,80234660,,,,,,,-96.7397722,43.4895835,,,
,85,80234692,,,,,,,-96.7414672,43.4895848,,,
,86,9318322962,,,,,,,-96.7414662,43.4896577,,,
,87,80234694,,,,,,,-96.7414592,43.4901615,,,
,88,80234703,,,,,,,-96.7416515,43.4910599,,,
,89,80234721,,,,,,,-96.7432784,43.4927612,,,
,90,80235180,,,,,,,-96.7541978,43.4899313,,,
,91,1562707122,,,,,,,-96.7538323,43.4917884,,,
,92,80235207,,,,,,,-96.7606115,43.4770677,,,
,93,80235208,turning_circle,,,,,,-96.7603276,43.4767248,,,
,94,80235209,,,,,,,-96.730158,43.4837749,,,
,95,80235212,,,,,,,-96.7301621,43.4849216,,,
,96,80230897,,,,,,,-96.7303285,43.4855313,,,
,97,80235218,turning_circle,,,,,,-96.7303249,43.4829346,,,
,98,80235226,,,,,,,-96.7308889,43.4836116,,,
,99,80235416,,,,,,,-96.7516384,43.4948554,,,
,100,80232222,,,,,,,-96.7509356,43.4945973,,,
,101,80232247,,,,,,,-96.7498282,43.4945895,,,
,102,80232723,,,,,,,-96.7565422,43.4771425,,,
,103,80236959,,,,,,,-96.7579689,43.4771464,,,
,104,80236963,,,,,,,-96.7591153,43.4771516,,,
,105,80236973,,,,,,,-96.761052,43.4767558,,,
,106,80236978,,,,,,,-96.7618364,43.4760959,,,
,107,1351702179,,,,,,,-96.7622544,43.4752918,,,
,108,80237041,,,,,,,-96.7356971,43.4863857,,,
,109,80237051,,,,,,,-96.7336869,43.4864589,,,
,110,1351495789,,,,,,,-96.7293052,43.4810791,,,
,111,8043016320,,,,,,,-96.7301673,43.4808892,,,
,112,2030988851,,,,,,,-96.7309504,43.4810091,,,
,113,1351495799,,,,,,,-96.7316063,43.4815671,,,
,114,10582520235,,,,,,,-96.7639642,43.4962225,,,
,115,80237467,,,,,,,-96.7649442,43.4956211,,,
,116,80237470,,,,,,,-96.765246,43.4953268,,,
,117,80237491,turning_circle,,,,,,-96.7641381,43.4953648,,,
,118,80237504,,,,,,,-96.7474976,43.494125,,,
,119,80237506,,,,,,,-96.7484693,43.4941288,,,
,120,80232255,,,,,,,-96.7496157,43.494155,,,
,121,669249902,,,,,,,-96.7535592,43.4941882,,,
,122,80234612,,,,,,,-96.7540309,43.4941924,,,
,123,80237513,,,,,,,-96.7560746,43.4942192,,,
