name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,geometry,out_degree,in_degree,degree
,3657,80737279,turning_circle,,,turning_circle,,,-96.6723295,43.5267611,,,,POINT(-96.6723295 43.5267611),2.0,2.0,4.0
,3658,80737317,,,,,,,-96.71338,43.501787,,,,POINT(-96.71338 43.501787),3.0,3.0,6.0
,3659,80737356,,,,,,,-96.6847461,43.5254294,,,,POINT(-96.6847461 43.5254294),3.0,3.0,6.0
,3660,80737374,,,,,,,-96.683681,43.522467,,,,POINT(-96.683681 43.522467),3.0,3.0,6.0
,3661,80737382,,,,,,,-96.7131258,43.5221261,,,,POINT(-96.7131258 43.5221261),3.0,3.0,6.0
,3662,80663000,,,,,,,-96.711251,43.5204283,,,,POINT(-96.711251 43.5204283),3.0,3.0,6.0
,3663,80737395,turning_circle,,,turning_circle,,,-96.692533,43.528661,,,,POINT(-96.692533 43.528661),1.0,1.0,2.0
,3664,80693290,,,,,,,-96.6713841,43.5075762,,,,POINT(-96.6713841 43.5075762),4.0,4.0,8.0
,3665,80737421,,,,,,,-96.669489,43.50757,,,,POINT(-96.669489 43.50757),4.0,4.0,8.0
,3666,80737458,turning_circle,,,turning_circle,,,-96.6750918,43.5281285,,,,POINT(-96.6750918 43.5281285),1.0,1.0,2.0
,3667,80737500,,,,,,,-96.801943,43.526512,,,,POINT(-96.801943 43.526512),3.0,3.0,6.0
,3668,80737508,turning_circle,,,turning_circle,,,-96.802025,43.526174,,,,POINT(-96.802025 43.526174),1.0,1.0,2.0
,3669,80737531,,,,,,,-96.6607007,43.5512194,,,,POINT(-96.6607007 43.5512194),3.0,3.0,6.0
,3671,80678355,traffic_signals,,signal,traffic_signals,,,-96.7298431,43.5512202,,,,POINT(-96.7298431 43.5512202),3.0,3.0,6.0
,3672,80678114,,,,,,,-96.6739713,43.534839,,,,POINT(-96.6739713 43.534839),1.0,1.0,2.0
,3673,80693250,,,,,,,-96.6714209,43.5348304,,,,POINT(-96.6714209 43.5348304),3.0,3.0,6.0
,3674,4802770672,crossing,,,crossing,,,-96.7137171,43.5348284,,,,POINT(-96.7137171 43.5348284),2.0,2.0,4.0
,3675,80737584,,,,,,,-96.7125639,43.5348269,,,,POINT(-96.7125639 43.5348269),3.0,3.0,6.0
,3676,80662982,traffic_signals,,signal,traffic_signals,,,-96.7113154,43.5348219,,,,POINT(-96.7113154 43.5348219),3.0,3.0,6.0
,3677,80728420,,,,,,,-96.726307,43.5345973,,,,POINT(-96.726307 43.5345973),3.0,3.0,6.0
,3678,80704858,,,,,,,-96.7238092,43.5345942,,,,POINT(-96.7238092 43.5345942),4.0,4.0,8.0
,3679,80737587,,,,,,,-96.7208606,43.5345906,,,,POINT(-96.7208606 43.5345906),4.0,4.0,8.0
,3680,80737589,,,,,,,-96.7194296,43.5345888,,,,POINT(-96.7194296 43.5345888),3.0,3.0,6.0
,3681,80737596,,,,,,,-96.690546,43.53442,,,,POINT(-96.690546 43.53442),1.0,1.0,2.0
,3682,80737599,,,,,,,-96.689528,43.534428,,,,POINT(-96.689528 43.534428),4.0,4.0,8.0
,3683,80737601,,,,,,,-96.685986,43.534429,,,,POINT(-96.685986 43.534429),4.0,4.0,8.0
,3684,80737610,,,,,,,-96.684754,43.534731,,,,POINT(-96.684754 43.534731),3.0,3.0,6.0
,3685,80737611,,,,,,,-96.68374,43.534841,,,,POINT(-96.68374 43.534841),4.0,4.0,8.0
,3686,80737613,,,,,,,-96.682648,43.534942,,,,POINT(-96.682648 43.534942),3.0,3.0,6.0
,3687,80737621,,,,,,,-96.67924,43.535136,,,,POINT(-96.67924 43.535136),3.0,3.0,6.0
,3688,80737626,,,,,,,-96.6814201,43.5346169,,,,POINT(-96.6814201 43.5346169),3.0,3.0,6.0
,3689,80737628,,,,,,,-96.6802677,43.5346092,,,,POINT(-96.6802677 43.5346092),3.0,3.0,6.0
,3690,80737631,,,,,,,-96.811397,43.525276,,,,POINT(-96.811397 43.525276),3.0,3.0,6.0
,3691,80737634,,,,,,,-96.811391,43.522454,,,,POINT(-96.811391 43.522454),4.0,4.0,8.0
,3692,80737636,,,,,,,-96.811392,43.521523,,,,POINT(-96.811392 43.521523),3.0,3.0,6.0
,3693,80737640,,,,,,,-96.7114633,43.5630139,,,,POINT(-96.7114633 43.5630139),3.0,3.0,6.0
,3694,80737642,,,,,,,-96.707642,43.563007,,,,POINT(-96.707642 43.563007),4.0,4.0,8.0
,3695,80737644,,,,,,,-96.7051561,43.5630025,,,,POINT(-96.7051561 43.5630025),4.0,4.0,8.0
,3696,80737650,,,,,,,-96.7246341,43.5761889,,,,POINT(-96.7246341 43.5761889),3.0,3.0,6.0
,3697,80718201,,,,,,,-96.7213986,43.5757173,,,,POINT(-96.7213986 43.5757173),4.0,4.0,8.0
,3698,80737738,turning_circle,,,turning_circle,,,-96.8014539,43.5322713,,,,POINT(-96.8014539 43.5322713),1.0,1.0,2.0
,3699,80737743,turning_circle,,,turning_circle,,,-96.778502,43.5249489,,,,POINT(-96.778502 43.5249489),1.0,1.0,2.0
,3700,80737745,,,,,,,-96.7784896,43.5237929,,,,POINT(-96.7784896 43.5237929),3.0,3.0,6.0
,3701,80737749,,,,,,,-96.7785335,43.5181784,,,,POINT(-96.7785335 43.5181784),3.0,3.0,6.0
,3702,5608263237,,,,,,,-96.7785185,43.515195,,,,POINT(-96.7785185 43.515195),1.0,1.0,2.0
,3703,80678353,traffic_signals,,signal,traffic_signals,,,-96.7283455,43.5512253,,,,POINT(-96.7283455 43.5512253),4.0,3.0,7.0
,3705,80737871,,,,,,,-96.7894763,43.509652,,,,POINT(-96.7894763 43.509652),3.0,3.0,6.0
,3706,80737873,,,,,,,-96.7894704,43.5091591,,,,POINT(-96.7894704 43.5091591),3.0,3.0,6.0
