name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type,out_degree,in_degree,degree
1345.2.767253:1;24,1500035,1000007,-96.72551594,43.54486938,3,1345,bus_service_node,1345.2,1345.2:1;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1345.2.767426:1;12;17;24,1500036,1000028,-96.75163272,43.55938369,3,1345,bus_service_node,1345.2,1345.2:1;12;17;24,,Sioux Area Metro,POINT (-96.75163272 43.55938369),0,,,2.0,2.0,4.0
1345.2.767432:1;12;17;24,1500037,1000029,-96.73879821,43.56171547,3,1345,bus_service_node,1345.2,1345.2:1;12;17;24,,Sioux Area Metro,POINT (-96.73879821 43.561715469999996),0,,,2.0,2.0,4.0
1346.2.767253:1;43,1500038,1000007,-96.72551594,43.54486938,3,1346,bus_service_node,1346.2,1346.2:1;43,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1346.2.767253:1;4;12;20;23;28;33;39;43,1500039,1000007,-96.72551594,43.54486938,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1346.2.767440:1;4;12;20;23;28;33;39;43,1500040,1000030,-96.71997319,43.55133457,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.71997319 43.551334569999995),0,,,2.0,2.0,4.0
1346.2.767448:1;4;12;20;23;28;33;39;43,1500041,1000031,-96.6915997,43.56276458999999,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.6915997 43.56276458999999),0,,,2.0,2.0,4.0
1346.2.767456:1;4;12;20;23;28;33;39;43,1500042,1000032,-96.66929964,43.551066,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.66929964 43.551066),0,,,2.0,2.0,4.0
1346.2.767459:1;4;12;20;23;28;33;39;43,1500043,1000033,-96.65984539,43.54158858,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.65984539 43.541588579999996),0,,,2.0,2.0,4.0
1346.2.767463:1;4;12;20;23;28;33;39;43,1500044,1000035,-96.67149334,43.54418719,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.67149334 43.544187189999995),0,,,2.0,2.0,4.0
1346.2.767468:1;4;12;20;23;28;33;39;43,1500045,1000036,-96.69205065,43.55119858,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.69205065 43.55119858),0,,,2.0,2.0,4.0
1346.2.767474:1;4;12;20;23;28;33;39;43,1500046,1000037,-96.71118667,43.55475885,3,1346,bus_service_node,1346.2,1346.2:1;4;12;20;23;28;33;39;43,,Sioux Area Metro,POINT (-96.71118667 43.55475885),0,,,2.0,2.0,4.0
1347.2.4211576:1;6;12;19;26;32,1500047,1000003,-96.7213634978653,43.5868366050116,3,1347,bus_service_node,1347.2,1347.2:1;6;12;19;26;32,,Sioux Area Metro,POINT (-96.7213634978653 43.5868366050116),0,,,2.0,2.0,4.0
1347.2.767253:1;32,1500048,1000007,-96.72551594,43.54486938,3,1347,bus_service_node,1347.2,1347.2:1;32,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1347.2.767253:1;6;12;19;26;32,1500049,1000007,-96.72551594,43.54486938,3,1347,bus_service_node,1347.2,1347.2:1;6;12;19;26;32,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1347.2.767483:1;6;12;19;26;32,1500050,1000038,-96.7313169,43.56370251,3,1347,bus_service_node,1347.2,1347.2:1;6;12;19;26;32,,Sioux Area Metro,POINT (-96.73131690000001 43.56370251),0,,,2.0,2.0,4.0
1347.2.767495:1;6;12;19;26;32,1500051,1000039,-96.71160062,43.60104827,3,1347,bus_service_node,1347.2,1347.2:1;6;12;19;26;32,,Sioux Area Metro,POINT (-96.71160062 43.60104827),0,,,2.0,2.0,4.0
1347.2.767501:1;6;12;19;26;32,1500052,1000040,-96.71167345,43.56139987,3,1347,bus_service_node,1347.2,1347.2:1;6;12;19;26;32,,Sioux Area Metro,POINT (-96.71167345 43.561399869999995),0,,,2.0,2.0,4.0
1348.2.767253:1;32,1500053,1000007,-96.72551594,43.54486938,3,1348,bus_service_node,1348.2,1348.2:1;32,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1348.2.767253:1;7;16;23;27;32,1500054,1000007,-96.72551594,43.54486938,3,1348,bus_service_node,1348.2,1348.2:1;7;16;23;27;32,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1348.2.767511:1;7;16;23;27;32,1500055,1000042,-96.6985501,43.53649046,3,1348,bus_service_node,1348.2,1348.2:1;7;16;23;27;32,,Sioux Area Metro,POINT (-96.6985501 43.536490459999996),0,,,2.0,2.0,4.0
1348.2.767520:1;7;16;23;27;32,1500056,1000043,-96.67162983,43.52951967,3,1348,bus_service_node,1348.2,1348.2:1;7;16;23;27;32,,Sioux Area Metro,POINT (-96.67162983 43.52951967),0,,,2.0,2.0,4.0
1348.2.767527:1;7;16;23;27;32,1500057,1000044,-96.69225064,43.53661820999999,3,1348,bus_service_node,1348.2,1348.2:1;7;16;23;27;32,,Sioux Area Metro,POINT (-96.69225064 43.53661820999999),0,,,2.0,2.0,4.0
1348.2.767531:1;7;16;23;27;32,1500058,1000045,-96.71245563,43.54134919,3,1348,bus_service_node,1348.2,1348.2:1;7;16;23;27;32,,Sioux Area Metro,POINT (-96.71245563000001 43.54134919),0,,,2.0,2.0,4.0
1349.2.4211579:1;7;13;28;31;38;50;55,1500059,1000004,-96.7863288615177,43.5270949842447,3,1349,bus_service_node,1349.2,1349.2:1;7;13;28;31;38;50;55,,Sioux Area Metro,POINT (-96.7863288615177 43.5270949842447),0,,,2.0,2.0,4.0
