param,value
29_agency1_equity_gap,"tf.Tensor(7.909024e-06, shape=(), dtype=float32)"
29_agency1_TEC_demand,"tf.Tensor(0.79090244, shape=(), dtype=float32)"
29_agency1_total_subsidy,"tf.Tensor(127.958496, shape=(), dtype=float32)"
29_agency1_adjusted_transit_income,"tf.Tensor(1058.1436, shape=(), dtype=float32)"
29_agency1_equity_change_income,"tf.Tensor(0.5575297, shape=(), dtype=float32)"
29_agency1_adjusted_transit_revenue,"tf.Tensor(930.7426, shape=(), dtype=float32)"
30_agency1_adjusted_equity_index,"tf.Tensor(0.0028881598, shape=(), dtype=float32)"
30_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028881598, shape=(), dtype=float32)"
30_agency1_equity_improvement,"tf.Tensor(0.00070356275, shape=(), dtype=float32)"
30_agency1_equity_gap,"tf.Tensor(-1.4781719e-05, shape=(), dtype=float32)"
30_agency1_TEC_demand,"tf.Tensor(-1.478172, shape=(), dtype=float32)"
30_agency1_total_subsidy,"tf.Tensor(126.776306, shape=(), dtype=float32)"
30_agency1_adjusted_transit_income,"tf.Tensor(1058.5637, shape=(), dtype=float32)"
30_agency1_equity_change_income,"tf.Tensor(-1.0408366, shape=(), dtype=float32)"
30_agency1_adjusted_transit_revenue,"tf.Tensor(930.7466, shape=(), dtype=float32)"
31_agency1_adjusted_equity_index,"tf.Tensor(0.002865497, shape=(), dtype=float32)"
31_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002865497, shape=(), dtype=float32)"
31_agency1_equity_improvement,"tf.Tensor(0.00072622555, shape=(), dtype=float32)"
31_agency1_equity_gap,"tf.Tensor(7.8810845e-06, shape=(), dtype=float32)"
31_agency1_TEC_demand,"tf.Tensor(0.78810847, shape=(), dtype=float32)"
31_agency1_total_subsidy,"tf.Tensor(127.959656, shape=(), dtype=float32)"
31_agency1_adjusted_transit_income,"tf.Tensor(1058.1467, shape=(), dtype=float32)"
31_agency1_equity_change_income,"tf.Tensor(0.5561018, shape=(), dtype=float32)"
31_agency1_adjusted_transit_revenue,"tf.Tensor(930.74316, shape=(), dtype=float32)"
32_agency1_adjusted_equity_index,"tf.Tensor(0.0028881766, shape=(), dtype=float32)"
32_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028881766, shape=(), dtype=float32)"
32_agency1_equity_improvement,"tf.Tensor(0.000703546, shape=(), dtype=float32)"
32_agency1_equity_gap,"tf.Tensor(-1.4798483e-05, shape=(), dtype=float32)"
32_agency1_TEC_demand,"tf.Tensor(-1.4798483, shape=(), dtype=float32)"
32_agency1_total_subsidy,"tf.Tensor(126.77793, shape=(), dtype=float32)"
32_agency1_adjusted_transit_income,"tf.Tensor(1058.5671, shape=(), dtype=float32)"
32_agency1_equity_change_income,"tf.Tensor(-1.0430381, shape=(), dtype=float32)"
32_agency1_adjusted_transit_revenue,"tf.Tensor(930.74615, shape=(), dtype=float32)"
33_agency1_adjusted_equity_index,"tf.Tensor(0.002865538, shape=(), dtype=float32)"
33_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002865538, shape=(), dtype=float32)"
33_agency1_equity_improvement,"tf.Tensor(0.0007261846, shape=(), dtype=float32)"
33_agency1_equity_gap,"tf.Tensor(7.840106e-06, shape=(), dtype=float32)"
33_agency1_TEC_demand,"tf.Tensor(0.78401065, shape=(), dtype=float32)"
33_agency1_total_subsidy,"tf.Tensor(127.96228, shape=(), dtype=float32)"
33_agency1_adjusted_transit_income,"tf.Tensor(1058.1508, shape=(), dtype=float32)"
33_agency1_equity_change_income,"tf.Tensor(0.55375266, shape=(), dtype=float32)"
33_agency1_adjusted_transit_revenue,"tf.Tensor(930.74225, shape=(), dtype=float32)"
34_agency1_adjusted_equity_index,"tf.Tensor(0.0028882194, shape=(), dtype=float32)"
34_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028882194, shape=(), dtype=float32)"
34_agency1_equity_improvement,"tf.Tensor(0.00070350314, shape=(), dtype=float32)"
